epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.1789,1.78199,3.68726,1.57714,0.01168,0.77419,0.26479,0.13967,1.17433,3.76692,1.11846,0.0001625,0.0001625,0.0001625
2,142.569,1.48864,3.1425,1.41351,0.0111,0.97727,0.41578,0.28101,1.0108,3.4213,0.96152,0.000334159,0.000334159,0.000334159
3,209.375,1.54236,2.60688,1.48058,0.00931,0.97727,0.50724,0.33173,1.06795,3.31809,0.99372,0.000502353,0.000502353,0.000502353
4,274.643,1.50661,2.55924,1.42928,0.83762,0.02778,0.5488,0.35639,1.11737,3.17527,1.06209,0.000667081,0.000667081,0.000667081
5,342.803,1.51063,2.07305,1.37216,0.57127,0.53677,0.71908,0.4779,1.13713,2.66682,1.05741,0.000828345,0.000828345,0.000828345
6,416.022,1.46786,1.94806,1.37452,0.53769,0.45401,0.61197,0.41524,1.12843,2.56196,1.07481,0.000986144,0.000986144,0.000986144
7,485.437,1.43826,1.81702,1.32194,0.64591,0.65492,0.77025,0.55486,1.0933,2.32772,1.07663,0.00114048,0.00114048,0.00114048
8,550.778,1.43599,1.73466,1.36276,0.83515,0.7293,0.836,0.59534,1.18705,1.78437,1.13871,0.00116337,0.00116337,0.00116337
9,619.592,1.45381,1.70066,1.36054,0.71601,0.80986,0.76488,0.50887,1.23215,1.78309,1.18269,0.001151,0.001151,0.001151
10,684.825,1.43176,1.62803,1.34957,0.69626,0.70137,0.79809,0.53153,1.33586,1.66479,1.26186,0.00113863,0.00113863,0.00113863
11,750.982,1.37167,1.63909,1.32269,0.65728,0.79262,0.77397,0.52753,1.08926,1.65953,1.07946,0.00112625,0.00112625,0.00112625
12,818.089,1.4162,1.52973,1.36067,0.88434,0.85035,0.9237,0.64117,1.06066,1.31376,1.07591,0.00111388,0.00111388,0.00111388
13,882.851,1.37003,1.47802,1.29576,0.87534,0.9256,0.90633,0.63948,1.06496,1.3098,1.09279,0.0011015,0.0011015,0.0011015
14,948.093,1.37393,1.43889,1.32177,0.87043,0.81069,0.8787,0.61033,1.06777,1.43578,1.11134,0.00108913,0.00108913,0.00108913
15,1014.19,1.31462,1.39446,1.28205,0.85564,0.83599,0.89477,0.6097,1.11761,1.32393,1.16671,0.00107675,0.00107675,0.00107675
16,1080.56,1.39541,1.40037,1.32276,0.93899,0.88834,0.94608,0.66563,1.1153,1.23742,1.18153,0.00106437,0.00106437,0.00106437
17,1145.11,1.27612,1.25688,1.29135,0.89494,0.87279,0.92646,0.69728,1.00329,1.05981,1.10832,0.001052,0.001052,0.001052
18,1209.25,1.30562,1.24013,1.26995,0.85132,0.7047,0.82427,0.57796,1.05989,1.36616,1.10606,0.00103962,0.00103962,0.00103962
19,1272.7,1.31254,1.27559,1.28013,0.91731,0.94602,0.94896,0.65419,1.07935,0.99228,1.13534,0.00102725,0.00102725,0.00102725
20,1338.06,1.28916,1.17006,1.28065,0.84514,0.75567,0.83594,0.59495,1.02996,1.2191,1.08591,0.00101488,0.00101488,0.00101488
21,1409.24,1.2757,1.18885,1.24699,0.93912,0.88606,0.95928,0.73304,1.01662,1.07275,1.05629,0.0010025,0.0010025,0.0010025
22,1478.43,1.30724,1.18022,1.26669,0.93205,0.93097,0.96759,0.72276,1.04277,0.9859,1.07877,0.000990125,0.000990125,0.000990125
23,1551.06,1.3563,1.24818,1.30868,0.86207,0.90032,0.92315,0.64786,1.15223,1.12648,1.18136,0.00097775,0.00097775,0.00097775
24,1625.69,1.27332,1.12732,1.26049,0.88768,0.93892,0.93799,0.66431,1.01786,0.99502,1.07162,0.000965375,0.000965375,0.000965375
25,1694.64,1.2995,1.23927,1.27902,0.95873,0.89691,0.94827,0.70533,0.95235,0.9567,1.06804,0.000953,0.000953,0.000953
26,1762.48,1.22512,1.13495,1.23202,0.88543,0.918,0.95518,0.71423,0.9815,0.86535,1.05838,0.000940625,0.000940625,0.000940625
27,1826.93,1.18513,1.10309,1.23823,0.94315,0.92618,0.9553,0.68993,0.99348,0.84153,1.04984,0.00092825,0.00092825,0.00092825
28,1892.38,1.26705,1.12155,1.25748,0.78443,0.95279,0.9293,0.68246,0.93899,0.94171,1.08067,0.000915875,0.000915875,0.000915875
29,1956.67,1.24073,1.08735,1.2649,0.86808,0.97335,0.94567,0.71145,0.96165,0.86269,1.08715,0.0009035,0.0009035,0.0009035
30,2022.02,1.2908,1.06428,1.2662,0.84997,0.90404,0.91633,0.70934,0.94012,0.88811,1.05724,0.000891125,0.000891125,0.000891125
31,2090.93,1.20355,1.02249,1.23444,0.92407,0.91114,0.92708,0.70191,0.95811,0.89798,1.08227,0.00087875,0.00087875,0.00087875
