epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.3207,1.41731,2.83159,3.5518,1.23371,0.02201,1,0.34251,0.26499,0.02201,1,0.34251,0.13645,0.79461,2.02307,3.52542,0.88518,0.0001625,0.0001625,0.0001625
2,186.756,1.14384,2.02727,2.86438,1.07434,0.01051,1,0.53875,0.42653,0.00988,0.975,0.42221,0.17054,0.78643,2.61756,3.41994,0.86573,0.000334159,0.000334159,0.000334159
3,275.623,1.17325,1.91784,2.32928,1.11488,1,0.07108,0.61194,0.45558,1,0.07108,0.61194,0.31929,0.8728,2.08029,3.32305,0.89584,0.000502353,0.000502353,0.000502353
4,364.586,1.21391,1.82834,2.06151,1.12258,0.00721,0.98077,0.504,0.40983,0.00735,1,0.473,0.2096,0.87973,1.94461,3.41735,0.9315,0.000667081,0.000667081,0.000667081
5,454.318,1.17434,1.89956,1.73727,1.08514,0.69884,0.14139,0.57395,0.4373,0.69884,0.14139,0.51009,0.29927,0.95032,2.14809,3.2077,0.94328,0.000828345,0.000828345,0.000828345
6,543.784,1.14226,1.79049,1.60237,1.06295,0.59781,0.53503,0.62494,0.46279,0.57119,0.50124,0.59526,0.31683,0.9525,2.2318,2.67324,0.97169,0.000986144,0.000986144,0.000986144
7,633.421,1.18177,1.78421,1.53414,1.06902,0.71771,0.71571,0.82624,0.6533,0.71771,0.71571,0.82624,0.42571,0.89248,1.6354,2.1545,0.95106,0.00114048,0.00114048,0.00114048
8,723.249,1.07506,1.76901,1.44485,1.0394,0.48328,0.66801,0.64644,0.46709,0.46424,0.64878,0.60646,0.25005,0.88826,2.09766,2.64519,0.92549,0.00116337,0.00116337,0.00116337
9,812.339,1.10352,1.76346,1.44012,1.04936,0.68493,0.72537,0.74352,0.60705,0.68493,0.72537,0.74041,0.45694,0.78526,1.61002,2.12704,0.90165,0.001151,0.001151,0.001151
10,901.562,1.0655,1.74727,1.2318,1.0392,0.82756,0.84097,0.92165,0.7303,0.78807,0.77847,0.83226,0.5064,0.84841,1.63964,1.59057,0.92019,0.00113863,0.00113863,0.00113863
11,990.091,1.08041,1.75068,1.25861,1.02979,0.86782,0.86597,0.91923,0.72415,0.86782,0.86597,0.91336,0.53546,0.81106,1.49992,1.56341,0.91074,0.00112625,0.00112625,0.00112625
12,1079.46,1.12604,1.72417,1.17712,1.07308,0.95719,0.93531,0.95708,0.72315,0.95719,0.93531,0.95708,0.57069,0.81992,1.49994,1.50513,0.90861,0.00111388,0.00111388,0.00111388
13,1168.84,1.0778,1.76082,1.22177,1.02726,0.91813,0.85507,0.96339,0.77928,0.91813,0.85507,0.96339,0.51452,0.75113,1.7357,1.48269,0.89213,0.0011015,0.0011015,0.0011015
14,1259.12,1.04629,1.66568,1.10424,1.02641,0.94656,0.88941,0.96958,0.79883,0.94656,0.88941,0.96958,0.64971,0.72032,1.27779,1.42256,0.89001,0.00108913,0.00108913,0.00108913
15,1347.75,1.00749,1.6431,1.11977,1.01432,0.87477,0.78366,0.92234,0.70983,0.87477,0.78366,0.92234,0.61987,0.78232,1.22998,1.47537,0.92208,0.00107675,0.00107675,0.00107675
16,1436.35,1.01646,1.63065,1.08051,1.01722,0.94914,0.93873,0.97484,0.78659,0.94914,0.93873,0.97484,0.66883,0.70143,1.29204,1.0773,0.87004,0.00106437,0.00106437,0.00106437
17,1835.51,0.98172,1.62214,1.03352,1.00509,0.86218,0.93638,0.97864,0.77925,0.86218,0.93638,0.97864,0.69443,0.72664,1.13974,1.14091,0.87842,0.001052,0.001052,0.001052
18,1940.11,0.99466,1.54135,0.97513,0.99543,0.93449,0.86098,0.92152,0.77059,0.93449,0.86098,0.92152,0.64762,0.67876,1.25105,1.18828,0.87428,0.00103962,0.00103962,0.00103962
19,2048.73,0.97738,1.55742,0.99842,0.99834,0.92428,0.96929,0.97188,0.80334,0.92428,0.96929,0.97188,0.67612,0.74803,1.30988,0.99476,0.8772,0.00102725,0.00102725,0.00102725
20,2154.85,0.91736,1.4882,0.91089,0.97996,0.90076,0.9125,0.96777,0.7693,0.90076,0.9125,0.96777,0.6784,0.77876,1.15383,1.04448,0.88192,0.00101488,0.00101488,0.00101488
21,2251.53,0.94662,1.51362,0.92747,0.97302,0.77637,0.8884,0.90832,0.74065,0.77637,0.8884,0.90832,0.61723,0.76222,1.25207,1.22617,0.89703,0.0010025,0.0010025,0.0010025
22,2352.22,0.97363,1.56445,0.91425,0.98362,0.98466,0.96667,0.99083,0.78518,0.98466,0.96667,0.99083,0.65365,0.80343,1.39919,0.87575,0.89692,0.000990125,0.000990125,0.000990125
23,2451.13,0.95686,1.54861,0.94565,0.98806,0.95242,0.96131,0.98939,0.79764,0.98163,0.91891,0.97987,0.63262,0.74481,1.36906,0.86248,0.88383,0.00097775,0.00097775,0.00097775
24,2551.47,0.965,1.59616,0.87134,0.98486,0.9456,0.98718,0.99225,0.81412,0.9456,0.98718,0.99225,0.72157,0.67278,1.10344,0.85514,0.87303,0.000965375,0.000965375,0.000965375
25,2653.02,0.93587,1.50992,0.86279,0.97986,0.95108,0.91716,0.99167,0.80101,0.95108,0.91716,0.99167,0.67359,0.7778,1.21358,0.89136,0.88931,0.000953,0.000953,0.000953
26,2756.08,0.96875,1.53178,0.8735,0.98424,0.92527,0.9138,0.96358,0.7612,0.92527,0.9138,0.96358,0.64782,0.76424,1.25924,0.90946,0.89534,0.000940625,0.000940625,0.000940625
27,2856.47,0.91101,1.51869,0.84452,0.97383,0.89031,0.89352,0.92153,0.7718,0.89031,0.89352,0.92153,0.64784,0.74824,1.2392,0.9237,0.89059,0.00092825,0.00092825,0.00092825
